dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),ctfidf_reduce_frequent_words,hdbscan_cluster_selection_method,hdbscan_metric,hdbscan_min_cluster_size,min_topic_size,umap_metric,umap_min_dist,umap_n_components,umap_n_neighbors,vectorizer_ngram_range,vectorizer_stop_words,vectorizer_tokenizer,Coherence(not optimized),Topic diversity(not optimized),Silhouette Metric(not optimized)
dataset_name,RF,LCB,48,52.65683889389038,-0.5250513233497788,-0.5221782715566232,0.2474357573544598,True,eom,euclidean,5,3,euclidean,0.13794626422950876,4,37,"(1, 1)",english,False,-0.07191035122253765,0.7604651162790698,0.6504828380806666
dataset_name,RF,LCB,49,54.632288217544556,-0.5412289127941767,-0.5376152808818594,0.23047574216114394,True,eom,euclidean,5,3,cosine,0.12129362388452244,4,34,"(1, 1)",english,False,-0.07186508233977347,0.7355,0.673987394064934
dataset_name,RF,LCB,50,57.990947008132935,-0.5918442553438683,-0.572293378814381,0.1897119812959048,False,eom,euclidean,4,3,euclidean,0.1878965380469441,7,33,"(1, 1)",english,False,-0.058867525159707286,0.6826086956521739,0.6360726455773944
dataset_name,RF,LCB,51,52.125784158706665,-0.5305176497847711,-0.5265825296308155,0.24356796996636318,True,eom,euclidean,5,2,euclidean,0.16071718740663687,4,33,"(1, 1)",english,False,-0.07412733802939385,0.7540983606557377,0.6476928220423656
dataset_name,RF,LCB,52,52.01645517349243,-0.5339029563600504,-0.5273503634556128,0.24665523711875253,True,eom,euclidean,5,3,euclidean,0.14448511217110996,3,30,"(1, 1)",english,False,-0.07931234169198492,0.7612021857923498,0.6367887323010993
dataset_name,RF,LCB,53,57.60577917098999,-0.5489006205417605,-0.5490932816808106,0.2213425782719761,True,eom,euclidean,5,2,euclidean,0.1896041936167662,4,12,"(1, 1)",english,False,-0.07342190120455501,0.7198347107438017,0.6618307415726371
dataset_name,RF,LCB,54,56.49063801765442,-0.5473740775738445,-0.5425985235312996,0.2291658356728642,True,eom,euclidean,4,2,euclidean,0.17093531680818902,3,33,"(1, 1)",english,False,-0.07688198536484771,0.7177272727272728,0.6073914846274302
dataset_name,RF,LCB,55,51.28874611854553,-0.5138278428992065,-0.511341948236058,0.2642216061361821,True,eom,euclidean,4,3,euclidean,0.18773011324614816,10,37,"(1, 1)",english,False,-0.07893453276564966,0.7793939393939394,0.7044915884565268
dataset_name,RF,LCB,56,55.22928714752197,-0.5403037427178249,-0.5303097022637638,0.235199839286782,True,eom,euclidean,4,3,euclidean,0.18857627034648544,10,32,"(1, 1)",english,False,-0.06785965867989507,0.7351851851851852,0.6665587693508823
dataset_name,RF,LCB,57,57.770334005355835,-0.5426116235722938,-0.539663615019514,0.24074104228336385,True,eom,euclidean,3,3,euclidean,0.19830220188652267,6,38,"(1, 1)",english,False,-0.08072066318774584,0.7341121495327103,0.6931149050134167
dataset_name,RF,LCB,58,58.327719926834106,-0.5477555958951581,-0.5417883815428891,0.2431061894138924,True,eom,euclidean,3,1,euclidean,0.19996301018607063,6,37,"(1, 1)",english,False,-0.0865261699243226,0.7336322869955157,0.6787596764608428
dataset_name,RF,LCB,59,64.7421350479126,-0.5604358456524098,-0.5565463531683087,0.21271623859168362,True,eom,euclidean,3,3,euclidean,0.1913646986676189,9,37,"(1, 1)",english,False,-0.06656135124174277,0.7102564102564103,0.5948223788872831
dataset_name,RF,LCB,60,51.89638876914978,-0.5441269954903922,-0.5392824548780425,0.24443461538747135,True,eom,euclidean,4,3,cosine,0.1913730857271663,2,37,"(1, 1)",english,False,-0.08595398523979575,0.7363636363636363,0.6329127602297717
dataset_name,RF,LCB,61,59.013362884521484,-0.5507707400965693,-0.5460683089801307,0.21566957959553948,True,eom,euclidean,4,1,euclidean,0.12295057590797731,4,37,"(1, 1)",english,False,-0.06607702471803514,0.7173333333333334,0.6501397672363493
dataset_name,RF,LCB,62,72.87740588188171,-0.595476918599017,-0.5843920129637227,0.1823102668724311,True,eom,euclidean,3,2,euclidean,0.19732694588945623,4,23,"(1, 1)",english,False,-0.06856478098764966,0.6648967551622419,0.5777802991008315
dataset_name,RF,LCB,63,55.91781520843506,-0.5483004499234785,-0.5439468435849485,0.2283173981701464,True,eom,euclidean,5,3,euclidean,0.1516627478078501,6,24,"(1, 1)",english,False,-0.07677837914184373,0.730188679245283,0.6497731177922758
dataset_name,RF,LCB,64,90.77742218971252,-0.6440754118727882,-0.6414565038781262,0.1434998077821483,True,eom,euclidean,5,2,cosine,0.17058620346190662,3,2,"(1, 1)",english,False,-0.08772515124019142,0.6049295774647887,0.686473457733885
