dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),ctfidf_reduce_frequent_words,hdbscan_cluster_selection_method,hdbscan_metric,hdbscan_min_cluster_size,min_topic_size,outliers_strategy,umap_metric,umap_min_dist,umap_n_components,umap_n_neighbors,vectorizer_ngram_range,vectorizer_stop_words,vectorizer_tokenizer,Coherence(not optimized),Topic diversity(not optimized),Silhouette Metric(not optimized)
dataset_name,RF,LCB,42,81.12572002410889,-0.5468471837137602,-0.539851540282425,0.21887987187078045,False,eom,euclidean,5,2,probabilities,euclidean,0.12224705315688766,9,47,"(1, 2)",english,False,-0.06237277717394773,0.7253623188405797,0.34824252652088994
dataset_name,RF,LCB,43,86.8398551940918,-0.5439194491316017,-0.5391930605247255,0.22001641944762707,True,eom,euclidean,5,1,distributions,euclidean,0.1553827121027183,6,45,"(1, 2)",english,False,-0.0639685073036985,0.725531914893617,0.446234912802556
dataset_name,RF,LCB,44,82.35245704650879,-0.5443188171972494,-0.5394202099075341,0.22274906109572187,True,eom,euclidean,5,1,distributions,euclidean,0.16885878025790135,5,39,"(1, 2)",english,False,-0.06532126242457507,0.7217687074829932,0.45333639270198567
dataset_name,RF,LCB,45,83.36830186843872,-0.5387945833732364,-0.5361416218637666,0.22186379559795028,False,eom,euclidean,5,2,probabilities,euclidean,0.1647427550679101,10,39,"(1, 2)",english,False,-0.06486028596386006,0.725531914893617,0.36489330443844775
dataset_name,RF,LCB,46,88.30021810531616,-0.5258902523510827,-0.5243986877233938,0.23146819331257318,False,eom,euclidean,5,2,probabilities,cosine,0.1774026482085843,10,49,"(1, 1)",english,False,-0.06233862997787076,0.7463235294117647,0.3705781984392061
dataset_name,RF,LCB,47,78.63028478622437,-0.5596054228846103,-0.5576545224061371,0.21227447413986084,False,eom,euclidean,5,2,embeddings,euclidean,0.17264605106249134,2,49,"(1, 1)",english,False,-0.07855751042570298,0.7077519379844961,0.4789532557709878
dataset_name,RF,LCB,48,81.17662215232849,-0.5769274476814298,-0.5438667568214752,0.2179727709153771,True,eom,euclidean,5,1,distributions,euclidean,0.15779683788567211,9,39,"(1, 1)",english,False,-0.06935461942107063,0.745,0.44360805152091665
dataset_name,RF,LCB,49,79.02316117286682,-0.5281072182330389,-0.5215407280413303,0.23395821960809401,True,eom,euclidean,5,1,probabilities,euclidean,0.19786790114242095,7,50,"(1, 1)",english,False,-0.060586099496155676,0.752,0.3183688306312862
dataset_name,RF,LCB,50,83.35354399681091,-0.5263279765204372,-0.5227446223244762,0.2284849994505346,False,eom,euclidean,5,2,probabilities,cosine,0.17734652567790743,10,50,"(1, 1)",english,False,-0.05528781400079598,0.7417910447761195,0.36402004589643566
dataset_name,RF,LCB,51,116.9966950416565,-0.6116689227812937,-0.6092419214375734,0.14252025539406904,False,eom,euclidean,5,2,probabilities,cosine,0.08168702793328791,8,13,"(1, 2)",english,False,-0.05613303706285739,0.6279693486590038,0.36521337565361023
