dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),ctfidf_reduce_frequent_words,hdbscan_cluster_selection_method,hdbscan_metric,hdbscan_min_cluster_size,min_topic_size,outliers_strategy,umap_metric,umap_min_dist,umap_n_components,umap_n_neighbors,vectorizer_ngram_range,vectorizer_stop_words,vectorizer_tokenizer,Coherence(not optimized),Topic diversity(not optimized),Silhouette Metric(not optimized)
dataset_name,RF,LCB,72,197.74690699577332,-0.43580701878528855,-0.4341081849382129,0.30444228315094957,True,eom,euclidean,10,10,none,cosine,0.1009743370888077,9,9,"(1, 1)",english,False,-0.04393490042307983,0.8811188811188811,0.6912664339178642
dataset_name,RF,LCB,73,160.04520416259766,-0.4400006320611586,-0.4334690969968993,0.31247609046712566,True,eom,euclidean,15,13,none,cosine,0.1254698429496972,2,5,"(1, 1)",english,False,-0.04875588922266503,0.888421052631579,0.6504581699387
dataset_name,RF,LCB,74,129.12562799453735,-0.3969970464729441,-0.39655617730025755,0.3253704514765108,True,eom,euclidean,12,7,none,cosine,0.1807989703934232,10,19,"(1, 1)",english,False,-0.027345140564034504,0.9328767123287671,0.7493051739125792
dataset_name,RF,LCB,75,126.91199779510498,-0.4011498477963191,-0.39897792539728183,0.32163379495615824,True,eom,euclidean,12,5,none,cosine,0.1939482504416379,4,20,"(1, 1)",english,False,-0.025681996439325484,0.9263888888888889,0.6155262876371764
dataset_name,RF,LCB,76,146.7589979171753,-0.4177729318742841,-0.40754579657543877,0.31349305595312243,True,eom,euclidean,11,3,none,cosine,0.19032371720893074,4,16,"(1, 1)",english,False,-0.025045596151474232,0.9174418604651163,0.6933004984064934
dataset_name,RF,LCB,77,153.31762886047363,-0.4515772543714522,-0.450171328984595,0.22198964155597053,False,eom,euclidean,15,15,none,cosine,0.0317238507202164,8,18,"(1, 1)",english,False,0.019282374255868512,0.7988372093023256,0.7340243940873774
dataset_name,RF,LCB,78,129.78824496269226,-0.4398428893461099,-0.43268460630187766,0.2578997038389599,False,eom,euclidean,12,2,none,cosine,0.19901227980219757,4,20,"(1, 1)",english,False,0.002438148440285453,0.8341772151898734,0.7213146297876579
dataset_name,RF,LCB,79,177.72865414619446,-0.4259309626536524,-0.4214053653947689,0.3060821806562792,True,eom,euclidean,11,2,none,cosine,0.11326162977279035,5,18,"(1, 1)",english,False,-0.03390290568540982,0.8883928571428571,0.7104393172937995
dataset_name,RF,LCB,80,159.54139637947083,-0.4141926777076699,-0.4145721072627431,0.31625330051498235,True,eom,euclidean,12,5,none,cosine,0.18936265420726925,4,11,"(1, 1)",english,False,-0.03796250539184917,0.8980392156862745,0.6642408931298173
dataset_name,RF,LCB,81,142.62518501281738,-0.41124633109174075,-0.4051833123097927,0.32572300004652416,True,eom,euclidean,15,13,none,cosine,0.15250603289243078,3,6,"(1, 1)",english,False,-0.03773690579391746,0.9174418604651163,0.6829299405547562
dataset_name,RF,LCB,82,162.30414295196533,-0.425911807643728,-0.42029841394665296,0.3036369125835162,True,eom,euclidean,15,9,none,cosine,0.09626646743588312,2,16,"(1, 1)",english,False,-0.028739707668750614,0.8921348314606742,0.6817082064447784
dataset_name,RF,LCB,83,119.29514193534851,-0.3900122801083807,-0.38876798679974933,0.327984229635823,True,eom,euclidean,15,7,none,cosine,0.1978354597973492,5,20,"(1, 1)",english,False,-0.023785233472300573,0.9403225806451613,0.7340379257377452
dataset_name,RF,LCB,84,122.24562501907349,-0.40168405912265376,-0.399444054511135,0.3207757539570451,True,eom,euclidean,15,10,none,euclidean,0.17738345788105958,2,19,"(1, 1)",english,False,-0.030734492519742654,0.9225806451612903,0.7094118110573241
dataset_name,RF,LCB,85,138.8054051399231,-0.40076328825960594,-0.39828525906892415,0.32152883892266043,True,eom,euclidean,12,2,none,cosine,0.19039254808052244,10,18,"(1, 1)",english,False,-0.026793434362696298,0.9315068493150684,0.7471092662479986
dataset_name,RF,LCB,86,173.01776480674744,-0.41566012916539075,-0.41201901150446113,0.31371112220037306,True,eom,euclidean,11,2,none,euclidean,0.19773201223614037,5,10,"(1, 1)",english,False,-0.030625714124410133,0.9080357142857143,0.6767323260493068
dataset_name,RF,LCB,87,129.0171148777008,-0.40130116570796015,-0.4012866350247193,0.31446324200415104,True,eom,euclidean,15,12,none,euclidean,0.19645652445147982,2,16,"(1, 1)",english,False,-0.01909457342980191,0.9121212121212121,0.6093536715013533
dataset_name,RF,LCB,88,176.6268332004547,-0.43151951113077536,-0.4313558677355136,0.293869649622832,True,eom,euclidean,13,6,none,cosine,0.011537542125678792,4,18,"(1, 1)",english,False,-0.03000523027927206,0.8723809523809524,0.7372040568485251
dataset_name,RF,LCB,89,198.83276104927063,-0.4355209970758451,-0.43396508120997535,0.30214223189644873,True,eom,euclidean,10,12,none,cosine,0.19946285694774976,5,7,"(1, 1)",english,False,-0.04120011367154494,0.8766423357664234,0.6888868393194912
dataset_name,RF,LCB,90,119.67755126953125,-0.3890370294038356,-0.3907783279302141,0.3214135918243875,True,eom,euclidean,15,8,none,euclidean,0.17501282988248468,4,18,"(1, 1)",english,False,-0.02396318560474772,0.9352941176470588,0.6239920472302697
dataset_name,RF,LCB,91,137.31618094444275,-0.40429288359540994,-0.40492411352260066,0.31383387230575105,True,eom,euclidean,14,6,none,euclidean,0.12744207808566055,4,18,"(1, 1)",english,False,-0.027189921272773532,0.9138888888888889,0.6439289824955887
dataset_name,RF,LCB,92,137.6225709915161,-0.46015782845558556,-0.43843674258421744,0.257682268063629,False,eom,euclidean,15,2,none,euclidean,0.08449476098892929,8,19,"(1, 1)",english,False,-0.002566478208996066,0.8549295774647887,0.6520139657055772
dataset_name,RF,LCB,93,136.7826952934265,-0.5074389933017005,-0.4825306658844691,0.2526186885084495,False,eom,euclidean,15,2,none,cosine,0.16161899079969877,4,3,"(1, 1)",english,False,-0.035253442094707835,0.8135135135135135,0.5761437649146375
dataset_name,RF,LCB,94,180.93458080291748,-0.4883333008094791,-0.4862317973980818,0.19339802381770957,False,eom,euclidean,10,2,none,cosine,0.16522840223757504,8,15,"(1, 1)",english,False,0.013801245680376413,0.7476923076923077,0.7038521022438251
dataset_name,RF,LCB,95,120.12716102600098,-0.3990833477483519,-0.39776154138602204,0.3233466661960936,True,eom,euclidean,15,2,none,cosine,0.17539450419345418,5,16,"(1, 1)",english,False,-0.028081202252114322,0.9289855072463769,0.737850330317016
dataset_name,RF,LCB,96,125.32407116889954,-0.4014907153991628,-0.396731527443644,0.3213779093234607,True,eom,euclidean,15,3,none,euclidean,0.1223232713991264,4,17,"(1, 1)",english,False,-0.026891531518646435,0.9333333333333333,0.6500656906034207
dataset_name,RF,LCB,97,118.39148378372192,-0.389158306686892,-0.3916210621865696,0.3202859307622643,True,eom,euclidean,15,7,none,cosine,0.17048131469941655,10,19,"(1, 1)",english,False,-0.02048889640105553,0.9311475409836065,0.7645266361940634
dataset_name,RF,LCB,98,140.13181805610657,-0.4094166701671612,-0.40178897425953086,0.31807008727020897,True,eom,euclidean,13,7,none,cosine,0.13216370409015318,7,20,"(1, 1)",english,False,-0.026483033699343014,0.9273972602739726,0.7277545133934039
dataset_name,RF,LCB,99,129.36455488204956,-0.39825628668995716,-0.3975353381935392,0.32855963814924916,True,eom,euclidean,13,6,none,cosine,0.17085460475260195,6,18,"(1, 1)",english,False,-0.0330172483735671,0.9328571428571428,0.6428475299838433
